,long,lat,Area,Began,Ended,Soil,hourly_precip_mean,hourly_precip_std,hourly_runoff_mean,hourly_runoff_std,Real?,sand,silt,clay
1376,-59.272208,-23.646697,120344.814,2011-04-06,4/26/2012,47.0,6.03636508458294e-05,0.0002689503016881,4.557250122161349e-06,2.64860391325783e-05,False,0.335,0.385,0.28
1377,-62.022799,-3.649082,127883.4194,2011-05-02,5/7/2012,28.0,0.0004664060834329,0.0010563485557213,0.0003662140807136,0.0007592113688588,False,0.15,0.1,0.75
1378,157.950235,68.00087,22717.12071,2011-05-21,5/29/2012,42.0,1.4348648619488811e-05,2.1744755940744653e-05,1.8207909306511283e-05,7.906938844826072e-05,False,0.174,0.618,0.208
1379,-95.808654,29.578033,24530.66949,2011-07-14,7/16/2012,49.0,4.511958104558289e-05,0.0002616022829897,3.185407138062146e-07,1.5702684095231234e-06,False,0.742,0.195,0.063
1380,82.321565,19.439848,35689.54023,2011-08-04,8/6/2012,50.0,0.0007525839610025,0.0014620854053646,0.0002521307033021,0.0009048778447322,False,0.91,0.03,0.06
1381,-2.593343,55.574626,4260.87917,2011-08-05,8/6/2012,10.0,9.94063593680039e-05,0.000290927971946,1.4941654626454692e-05,1.0550179467827547e-05,False,0.48,0.25,0.27
1382,103.729817,31.160222,107983.9702,2011-08-15,8/20/2012,40.0,8.2708582340274e-05,0.000293558841804,4.455630187294446e-05,5.757684994023293e-05,False,0.8,0.15,0.05
1383,82.796221,20.985523,29689.97677,2011-08-17,8/20/2012,50.0,0.0005821464001201,0.0010332468664273,0.0002672906557563,0.0004939379869028,False,0.91,0.03,0.06
1384,135.556159,34.616699,10669.96735,2011-08-13,8/20/2012,43.0,7.768992509227246e-05,0.0004965006955899,4.847329910262488e-05,8.120244456222281e-05,False,0.349,0.266,0.385
1385,-15.494274,14.462036,79242.6954,2011-08-25,8/29/2012,73.0,0.0005012478213757,0.0011183043243363,4.914954479318112e-05,0.0003440958389546,False,0.779,0.151,0.07
1386,73.522165,35.030504,98264.36344,2011-08-24,8/29/2012,8.0,0.000115343464131,0.000563760055229,5.725967639591545e-05,0.0002935058437287,False,0.102,0.447,0.451
1387,106.115278,37.391616,45130.62691,2011-08-26,8/29/2012,95.0,1.6877858797670342e-05,0.0001068085766746,5.624360710498877e-07,5.263055300019914e-06,False,0.489,0.321,0.19
